overall_rank,player_name,position,team,predicted_points,vor
351,Chukwuerika Ezukanma,WR,MIA,13.861364735480064,-7.648974063598074
352,Amari Rodgers,WR,HOU,13.861364735480064,-7.648974063598074
353,Rashod Bateman,WR,BAL,13.861364735480064,-7.648974063598074
354,Dyami Brown,WR,WAS,13.861364735480064,-7.648974063598074
355,Khalil Shakir,WR,BUF,13.861364735480064,-7.648974063598074
356,Kadarius Toney,WR,KC,13.84793210822802,-7.6650932163005265
357,Devin Duvernay,WR,BAL,13.84793210822802,-7.6650932163005265
358,Raymond McCloud,WR,SF,13.838738767778228,-7.676125224840278
359,Laviska Shenault,WR,CAR,13.838738767778228,-7.676125224840278
360,Steven Sims,WR,PIT,13.838738767778228,-7.676125224840278
361,Ashton Dulin,WR,IND,13.804720499599872,-7.716947146654305
362,Jalen Guyton,WR,LAC,13.804720499599872,-7.716947146654305
363,Lil'Jordan Humphrey,WR,NE,13.804720499599872,-7.716947146654305
364,Stanley Morgan,WR,CIN,13.804720499599872,-7.716947146654305
365,Scott Miller,WR,TB,13.804720499599872,-7.716947146654305
366,Deonte Harty,WR,NO,13.804720499599872,-7.716947146654305
367,Juwann Winfree,WR,GB,13.804720499599872,-7.716947146654305
368,Terrance Watkins,WR,PHI,13.804720499599872,-7.716947146654305
369,Miles Boykin,WR,PIT,13.804720499599872,-7.716947146654305
370,Quintez Cephus,WR,DET,13.804720499599872,-7.716947146654305
371,Josh Ali,WR,ATL,13.804720499599872,-7.716947146654305
372,Andy Isabella,WR,BAL,13.804720499599872,-7.716947146654305
373,Jeffrey Smith,WR,NYJ,13.804720499599872,-7.716947146654305
374,Shiyun Smith,WR,CAR,13.804720499599872,-7.716947146654305
375,N'Keal Harry,WR,CHI,13.804720499599872,-7.716947146654305
376,Key'vantanie Coutee,WR,IND,13.804720499599872,-7.716947146654305
377,Kendall Hinton,WR,DEN,13.804720499599872,-7.716947146654305
378,Mason Kinsey,WR,TEN,13.804720499599872,-7.716947146654305
379,Andre Baccellia,WR,ARI,13.804720499599872,-7.716947146654305
380,Denzel Mims,WR,NYJ,13.804720499599872,-7.716947146654305
381,Dezmon Patmon,WR,BUF,13.804720499599872,-7.716947146654305
382,Marquez Callaway,WR,NO,13.804720499599872,-7.716947146654305
383,Nick Westbrook-Ikhine,WR,TEN,13.804720499599872,-7.716947146654305
384,Freddie Swain,WR,DEN,13.804720499599872,-7.716947146654305
385,James Proche,WR,BAL,13.804720499599872,-7.716947146654305
386,Cody White,WR,PIT,13.804720499599872,-7.716947146654305
387,Stephen Trammell,WR,LA,13.804720499599872,-7.716947146654305
388,Jalen Nailor,WR,MIN,13.804720499599872,-7.716947146654305
389,Samori Toure,WR,GB,13.804720499599872,-7.716947146654305
390,Dareke Young,WR,SEA,13.804720499599872,-7.716947146654305
391,Tanner Conner,WR,MIA,13.804720499599872,-7.716947146654305
392,Tyrie Cleveland,WR,PHI,13.804720499599872,-7.716947146654305
393,Jontavious Sanders,WR,MIA,13.804720499599872,-7.716947146654305
394,Brandon Johnson,WR,DEN,13.804720499599872,-7.716947146654305
395,Dennis Houston,WR,DAL,13.804720499599872,-7.716947146654305
396,Jalen Virgil,WR,DEN,13.804720499599872,-7.716947146654305
397,Tim Jones,WR,JAX,13.804720499599872,-7.716947146654305
398,Jalen Tolbert,WR,DAL,13.804720499599872,-7.716947146654305
399,Maurice Alexander,WR,DET,13.804720499599872,-7.716947146654305
400,Danny Gray,WR,SF,13.804720499599872,-7.716947146654305
401,Michael Strachan,WR,IND,13.804720499599872,-7.716947146654305
402,Jalen Camp,WR,HOU,13.804720499599872,-7.716947146654305
